ROW,COL,geom,Northeast,Midwest,South,West
8,13,"POLYGON ((-98.75 36.00005, -98.75 37.89475, -96.25 37.89475, -96.25 36.00005, -98.75 36.00005))",0.0,0.5594233288803423,0.44057667111965776,0.0
8,14,"POLYGON ((-96.25 36.00005, -96.25 37.89475, -93.75 37.89475, -93.75 36.00005, -96.25 36.00005))",0.0,0.5726302293213974,0.4273697706786026,0.0
8,15,"POLYGON ((-93.75 36.00005, -93.75 37.89475, -91.25 37.89475, -91.25 36.00005, -93.75 36.00005))",0.0,0.5890926408377481,0.41090735916225185,0.0
8,16,"POLYGON ((-91.25 36.00005, -91.25 37.89475, -88.75 37.89475, -88.75 36.00005, -91.25 36.00005))",0.0,0.5059333068707693,0.4940666931292306,0.0
8,17,"POLYGON ((-88.75 36.00005, -88.75 37.89475, -86.25 37.89475, -86.25 36.00005, -88.75 36.00005))",0.0,0.556296357775921,0.44370364222407904,0.0
8,18,"POLYGON ((-86.25 36.00005, -86.25 37.89475, -83.75 37.89475, -83.75 36.00005, -86.25 36.00005))",0.0,0.0,1.0,0.0
8,19,"POLYGON ((-83.75 36.00005, -83.75 37.89475, -81.25 37.89475, -81.25 36.00005, -83.75 36.00005))",0.0,0.0,1.0,0.0
8,20,"POLYGON ((-81.25 36.00005, -81.25 37.89475, -78.75 37.89475, -78.75 36.00005, -81.25 36.00005))",0.0,0.0,1.0,0.0
8,21,"POLYGON ((-78.75 36.00005, -78.75 37.89475, -76.25 37.89475, -76.25 36.00005, -78.75 36.00005))",0.0,0.0,1.0,0.0
8,22,"POLYGON ((-76.25 36.00005, -76.25 37.89475, -73.75 37.89475, -73.75 36.00005, -76.25 36.00005))",0.0,0.0,1.0,0.0
9,2,"POLYGON ((-126.25 37.89475, -126.25 39.78945, -123.75 39.78945, -123.75 37.89475, -126.25 37.89475))",0.0,0.0,0.0,1.0
9,3,"POLYGON ((-123.75 37.89475, -123.75 39.78945, -121.25 39.78945, -121.25 37.89475, -123.75 37.89475))",0.0,0.0,0.0,1.0
9,4,"POLYGON ((-121.25 37.89475, -121.25 39.78945, -118.75 39.78945, -118.75 37.89475, -121.25 37.89475))",0.0,0.0,0.0,1.0
9,5,"POLYGON ((-118.75 37.89475, -118.75 39.78945, -116.25 39.78945, -116.25 37.89475, -118.75 37.89475))",0.0,0.0,0.0,1.0
